,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
5467,24035,2019,fatick,2,1,2,1,0,0,0,1,1,0,1,0,0,0,0,2,1,0,1.791759469
5468,24036,2019,fatick,4,5,5,1,2,0,1,3,2,1,0,1,0,3,1,1,0,0,2.708050201
5469,24037,2019,fatick,3,2,0,2,0,0,0,0,0,2,0,0,1,1,1,1,0,1,1.945910149
5470,24038,2019,fatick,5,3,3,3,1,0,0,1,1,1,1,1,1,4,1,0,1,1,2.63905733
5471,24039,2019,fatick,2,0,3,6,1,0,0,0,1,0,3,0,2,1,1,0,1,1,2.397895273
5472,2404,2019,dakar,4,2,4,6,1,1,2,0,0,1,1,0,2,3,4,1,0,0,2.772588722
5473,2405,2019,dakar,6,4,2,7,0,1,1,2,1,1,0,1,2,2,3,3,2,0,2.944438979
5474,24051,2019,fatick,5,4,5,2,0,0,2,1,2,3,1,0,0,2,2,2,0,1,2.772588722
5475,240510,2019,fatick,6,3,5,2,0,0,2,1,3,0,0,2,0,3,0,2,2,1,2.772588722
5476,240511,2019,fatick,2,3,3,2,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2.302585093
5477,240512,2019,fatick,3,1,3,1,1,0,0,0,2,1,0,0,0,2,0,1,1,0,2.079441542
5478,24052,2019,fatick,2,1,1,3,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1.945910149
5479,24053,2019,fatick,3,3,5,1,2,1,2,0,1,1,0,1,0,1,1,1,0,1,2.48490665
5480,24054,2019,fatick,2,2,4,2,0,0,1,1,1,0,2,1,2,1,0,1,0,0,2.302585093
